DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,1,77.0,1.0,0.0,0.0,0.0,2.0,77.0,0.0,77.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,2,77.0,1.0,38.5,0.0,0.0,2.0,77.0,0.0,38.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,3,77.0,1.0,38.5,0.0,0.0,2.0,77.0,0.0,38.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,4,77.0,1.0,77.0,0.0,0.0,3.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,5,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,6,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,7,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,8,72.0,1.0,11.5,0.0,0.0,6.0,72.0,11.0,60.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,9,72.0,1.0,42.0,0.0,0.0,6.0,72.0,72.0,30.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,10,54.0,1.0,10.0,0.0,0.0,7.0,54.0,12.0,44.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,11,54.0,1.0,33.0,0.0,0.0,8.0,54.0,12.0,21.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,12,54.0,1.0,33.0,0.0,0.0,8.0,54.0,12.0,21.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,13,54.0,1.0,33.0,0.0,0.0,8.0,54.0,12.0,21.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,14,54.0,1.0,33.0,0.0,0.0,8.0,54.0,12.0,21.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,15,8.0,1.0,31.0,0.0,0.0,9.0,8.0,8.0,23.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,16,8.0,1.0,31.0,0.0,0.0,10.0,8.0,8.0,23.0
