DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,13,3661.0,1.0,3445.0,0.0,0.0,2786.0,154.0,183.0,216.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,14,3632.0,1.0,3266.5,0.0,0.0,3063.0,185.0,154.0,365.5
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,15,3395.0,1.0,3401.5,0.0,0.0,3484.0,139.0,185.0,6.5
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,16,3223.0,1.0,3259.0,0.0,0.0,3712.0,139.0,139.0,36.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,17,3093.0,1.0,3155.0,0.0,0.0,4020.0,168.0,127.0,62.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,18,3164.0,0.0,3067.0,0.0,0.0,4151.0,168.0,168.0,97.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,19,3089.0,1.0,3049.0,0.0,0.0,4436.0,168.0,168.0,40.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,20,3050.0,1.0,3069.5,0.0,0.0,4642.0,168.0,168.0,19.5
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,21,3048.0,1.0,3049.0,0.0,0.0,4861.0,127.0,168.0,1.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,22,3039.0,1.0,3043.5,0.0,0.0,5210.0,127.0,127.0,4.5
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,23,3039.0,1.0,3039.0,0.0,0.0,5548.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,24,3039.0,1.0,3039.0,0.0,0.0,5732.0,127.0,127.0,0.0
